Sample Number,LatinName,CommonName,Region,Island,FullClutch,EggDate,CulmenLength,CulmenDepth,FlipperLength,BodyMass,Sex
238,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,22/11/2009,55.9,17,228,5600,Male
239,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,18/11/2009,47.2,15.5,215,4975,Female
240,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,18/11/2009,49.1,15,228,5500,Male
241,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,01/12/2009,46.8,16.1,215,5500,Male
242,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,10/11/2009,41.7,14.7,210,4700,Female
243,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,10/11/2009,53.4,15.8,219,5500,Male
244,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,09/11/2009,43.3,14,208,4575,Female
245,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,09/11/2009,48.1,15.1,209,5500,Male
246,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,20/11/2009,50.5,15.2,216,5000,Female
247,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,20/11/2009,49.8,15.9,229,5950,Male
248,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2009,43.5,15.2,213,4650,Female
249,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,27/11/2009,51.5,16.3,230,5500,Male
250,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,25/11/2009,46.2,14.1,217,4375,Female
251,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,25/11/2009,55.1,16,230,5850,Male
252,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,01/12/2009,48.8,16.2,222,6000,Male
253,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,No,01/12/2009,47.2,13.7,214,4925,Female
254,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,22/11/2009,46.8,14.3,215,4850,Female
255,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,22/11/2009,50.4,15.7,222,5750,Male
256,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,22/11/2009,45.2,14.8,212,5200,Female
257,Pygoscelis papua,Gentoo penguin,Anvers,Biscoe,Yes,22/11/2009,49.9,16.1,213,5400,Male
258,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,19/11/2007,46.5,17.9,192,3500,Female
259,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,19/11/2007,50,19.5,196,3900,Male
260,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,26/11/2007,51.3,19.2,193,3650,Male
261,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,26/11/2007,45.4,18.7,188,3525,Female
262,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2007,52.7,19.8,197,3725,Male
263,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2007,45.2,17.8,198,3950,Female
264,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,28/11/2007,46.1,18.2,178,3250,Female
265,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,28/11/2007,51.3,18.2,197,3750,Male
266,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2007,46,18.9,195,4150,Female
267,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2007,51.3,19.9,198,3700,Male
268,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,28/11/2007,46.6,17.8,193,3800,Female
269,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,28/11/2007,51.7,20.3,194,3775,Male
270,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,26/11/2007,47,17.3,185,3700,Female
271,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,26/11/2007,52,18.1,201,4050,Male
272,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,22/11/2007,45.9,17.1,190,3575,Female
273,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,22/11/2007,50.5,19.6,201,4050,Male
274,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,30/11/2007,50.3,20,197,3300,Male
275,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,30/11/2007,58,17.8,181,3700,Female
276,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,30/11/2007,46.4,18.6,190,3450,Female
277,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,30/11/2007,49.2,18.2,195,4400,Male
278,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,03/12/2007,42.4,17.3,181,3600,Female
279,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,03/12/2007,48.5,17.5,191,3400,Male
280,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,28/11/2007,43.2,16.6,187,2900,Female
281,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,28/11/2007,50.6,19.4,193,3800,Male
282,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,28/11/2007,46.7,17.9,195,3300,Female
283,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,28/11/2007,52,19,197,4150,Male
284,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,25/11/2008,50.5,18.4,200,3400,Female
285,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,25/11/2008,49.5,19,200,3800,Male
286,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,46.4,17.8,191,3700,Female
287,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,52.8,20,205,4550,Male
288,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,40.9,16.6,187,3200,Female
289,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,54.2,20.8,201,4300,Male
290,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,42.5,16.7,187,3350,Female
291,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,51,18.8,203,4100,Male
292,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,25/11/2008,49.7,18.6,195,3600,Male
293,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,25/11/2008,47.5,16.8,199,3900,Female
294,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,47.6,18.3,195,3850,Female
295,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,52,20.7,210,4800,Male
296,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,24/11/2008,46.9,16.6,192,2700,Female
297,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,24/11/2008,53.5,19.9,205,4500,Male
298,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,49,19.5,210,3950,Male
299,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,24/11/2008,46.2,17.5,187,3650,Female
300,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,50.9,19.1,196,3550,Male
301,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,14/11/2008,45.5,17,196,3500,Female
302,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,17/11/2009,50.9,17.9,196,3675,Female
303,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,17/11/2009,50.8,18.5,201,4450,Male
304,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,27/11/2009,50.1,17.9,190,3400,Female
305,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,27/11/2009,49,19.6,212,4300,Male
306,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,23/11/2009,51.5,18.7,187,3250,Male
307,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,23/11/2009,49.8,17.3,198,3675,Female
308,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,48.1,16.4,199,3325,Female
309,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,51.4,19,201,3950,Male
310,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,23/11/2009,45.7,17.3,193,3600,Female
311,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,23/11/2009,50.7,19.7,203,4050,Male
312,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,27/11/2009,42.5,17.3,187,3350,Female
313,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,27/11/2009,52.2,18.8,197,3450,Male
314,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,45.2,16.6,191,3250,Female
315,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,49.3,19.9,203,4050,Male
316,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,50.2,18.8,202,3800,Male
317,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,45.6,19.4,194,3525,Female
318,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,27/11/2009,46.8,16.5,189,3650,Female
319,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,19/11/2009,45.7,17,195,3650,Female
320,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,19/11/2009,55.8,19.8,207,4000,Male
321,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,21/11/2009,43.5,18.1,202,3400,Female
322,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,No,21/11/2009,49.6,18.2,193,3775,Male
323,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,50.8,19,210,4100,Male
324,Pygoscelis antarctica,Chinstrap penguin,Anvers,Dream,Yes,21/11/2009,50.2,18.7,198,3775,Female
